ID,Nosaukums,Latitude,Longitude
185,Dursupes ezers,57.1936111,22.8771389
186,Pļavu ezers,57.2607778,22.8888333
187,Žvinguļu dīķis,56.6192778,22.8936389
188,Auniņu dīķis,56.6133333,22.895
189,Lielauces ezers,56.5340278,22.9032222
190,Brencis,56.7779722,22.9158889
191,Glūdainis,56.7718333,22.9181389
192,Jaunsātu grantskarjera dīķis,56.9669722,22.94725
193,Lielais Lācis,56.7948056,22.9480833
194,Palejas dzirnavu ezers,56.6658611,22.9699444
195,Svētes ezers,56.6170833,22.9816944
196,Zebrus ezers,56.6319722,22.9853889
197,Vipēdis ,56.5900278,22.9971944
198,Dzirciema ezers,57.1133333,23.0116111
199,Sesavas ezers,56.5698333,23.0190833
200,Vaskaris,57.1597778,23.0367778
201,Spārņa ezers,56.5533889,23.0390833
202,Ķimšu ūdenskrātuve,56.7325,23.0403889
203,Bēnes dzirnavezers ,56.4887222,23.0484722
204,Rindzeles ezers,57.1389722,23.0510278
205,Sīļezers,57.0864722,23.0549167
206,Ukru ezers,56.3375278,23.0576667
207,Lestenes ezers ,56.77225,23.0709167
208,Sēmes ezers,57.05175,23.0723333
209,Brandavu ezers,56.7508889,23.0723611
210,Annenieku ūdenskrātuve,56.6723889,23.0778889
211,Lielapsauju ezers,56.7178333,23.0821389
212,Pilsētas ezers,57.0971667,23.0860556
213,Rideļu dzirnavezers,57.1513056,23.0875556
214,Kliģu ezers,56.7200833,23.1087222
215,Engures ezers,57.2652778,23.1098611
216,Seklis,57.0044167,23.1213611
217,Mariņmuižas dīķis,56.7855,23.1683056
218,Naudītes dīķis,56.53575,23.1844722
219,Rūju dīķi,56.61875,23.2094167
220,Velēnu dīķis,56.4536111,23.2101111
221,Klūnu dīķis,56.4541389,23.2241111
222,Apguldes ezers,56.5406667,23.2464444
223,Džūkstes ūdenskrātuve,56.7973611,23.2596667
224,Lāču dīķis,56.6547222,23.264
225,Gaurata ezers,56.6652222,23.2890278
226,Lielais Ausekļu dīķis,56.6867778,23.2905556
227,Valguma ezers,56.9895833,23.3094722
228,Augstkalnes dzirnavu ezers,56.4035,23.3299722
229,Kroņauces dzirnavu ezers,56.5148611,23.3315556
230,Indrānu ūdenskrātuve,56.4883056,23.3356944
231,Lancenieku dzirnavu ezers,56.8142778,23.3372778
232,Gulbju ūdenskrātuve ,56.5002222,23.4030278
233,Kaņieris,57.0023333,23.4665
234,Dūņieris,56.9885833,23.4993611
235,Mūrmuižas dzirnavu ezers,56.4320278,23.5187222
236,Melnezers,56.9690833,23.5272778
237,Akacis,56.9418333,23.5513611
238,Slokas ezers,56.9558333,23.5617778
239,Sahalīnes dīķis,56.8471111,23.5632778
240,Aklais ezers,56.9385556,23.577
241,Lielplatones ūdenskrātuve,56.4658333,23.6693889
242,Ruļļu karjera dīķis,56.5932222,23.6834167
243,Platones ūdenskrātuve,56.5340278,23.6951944
244,Babītes ezers,56.92075,23.7412222
245,Ozolnieku ezers ,56.6869167,23.8013333
